ResponseId,MainBranch,Age,Employment,EdLevel,Country
2898,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bolivia
2899,I am a developer by profession,25-34 years old,"Not employed, but looking for work",Some college/university study without earning a degree,Mexico
2900,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Not employed, and not looking for work","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",China
2901,I code primarily as a hobby,18-24 years old,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Philippines
2902,I am a developer by profession,18-24 years old,"Student, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,United States of America
2903,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2904,I am a developer by profession,18-24 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",France
2905,I am a developer by profession,18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2906,I am a developer by profession,45-54 years old,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Finland
2907,I am a developer by profession,35-44 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Hong Kong (S.A.R.)
2908,I code primarily as a hobby,25-34 years old,"Not employed, but looking for work","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Mexico
2909,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Ukraine
2910,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Canada
2911,I am a developer by profession,18-24 years old,"Not employed, but looking for work","Associate degree (A.A., A.S., etc.)",Pakistan
2912,I am a developer by profession,Prefer not to say,"Employed, full-time",Some college/university study without earning a degree,United States of America
2913,I am a developer by profession,18-24 years old,"Student, full-time;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Viet Nam
2914,I am a developer by profession,45-54 years old,"Employed, full-time","Associate degree (A.A., A.S., etc.)",Australia
2915,I am a developer by profession,25-34 years old,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",India
2916,I code primarily as a hobby,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bangladesh
2917,I am a developer by profession,18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2918,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Germany
2919,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
2920,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2921,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
2922,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Iran, Islamic Republic of..."
2923,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Greece
2924,"I used to be a developer by profession, but no longer am",65 years or older,Retired,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Australia
2925,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",New Zealand
2926,I am a developer by profession,45-54 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Switzerland
2927,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2928,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
2929,I am a developer by profession,18-24 years old,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Cyprus
2930,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
2931,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
2932,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2933,I am a developer by profession,18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ukraine
2934,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Australia
2935,I am a developer by profession,18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2936,"I used to be a developer by profession, but no longer am",65 years or older,Retired,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
2937,I am a developer by profession,18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2938,I am a developer by profession,35-44 years old,"Not employed, but looking for work","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ukraine
2939,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Lithuania
2940,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2941,"I used to be a developer by profession, but no longer am",35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Pakistan
2942,I code primarily as a hobby,Under 18 years old,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Hong Kong (S.A.R.)
2943,I am a developer by profession,45-54 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
2944,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2945,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Romania
2946,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",New Zealand
2947,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Student, part-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Austria
2948,I code primarily as a hobby,Prefer not to say,I prefer not to say,Something else,United States of America
2949,I am a developer by profession,45-54 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Germany
2950,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Germany
2951,I am a developer by profession,45-54 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United Kingdom of Great Britain and Northern Ireland
2952,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Finland
2953,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bangladesh
2954,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Ukraine
2955,I am a developer by profession,25-34 years old,"Employed, full-time",Some college/university study without earning a degree,Russian Federation
2956,I am a developer by profession,18-24 years old,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,Ethiopia
2957,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Greece
2958,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
2959,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Nigeria
2960,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
2961,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
2962,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
2963,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
2964,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ukraine
2965,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2966,I am a developer by profession,25-34 years old,"Employed, full-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Turkey
2967,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2968,I am a developer by profession,18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2969,I am a developer by profession,45-54 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Switzerland
2970,I am a developer by profession,18-24 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Argentina
2971,I am a developer by profession,18-24 years old,"Student, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",France
2972,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Iran, Islamic Republic of..."
2973,I code primarily as a hobby,25-34 years old,I prefer not to say,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Canada
2974,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Algeria
2975,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Singapore
2976,I am a developer by profession,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Australia
2977,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bangladesh
2978,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
2979,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Iran, Islamic Republic of..."
2980,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
2981,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Spain
2982,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2983,I am learning to code,18-24 years old,"Student, full-time;Not employed, but looking for work;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,Nepal
2984,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Germany
2985,I code primarily as a hobby,Under 18 years old,"Student, full-time;Student, part-time",Primary/elementary school,Indonesia
2986,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Germany
2987,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Australia
2988,I am a developer by profession,55-64 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",South Africa
2989,"I am not primarily a developer, but I write code sometimes as part of my work/studies",55-64 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Czech Republic
2990,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Iran, Islamic Republic of..."
2991,I am learning to code,45-54 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Turkey
2992,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
2993,I am a developer by profession,18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2994,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Germany
2995,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
2996,I am learning to code,18-24 years old,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Indonesia
2997,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Sweden
2998,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Mexico
2999,I am a developer by profession,45-54 years old,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Pakistan
3000,I am a developer by profession,18-24 years old,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Switzerland
3001,I am a developer by profession,35-44 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",United Kingdom of Great Britain and Northern Ireland
3002,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
3003,I am a developer by profession,25-34 years old,"Not employed, but looking for work","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Pakistan
3004,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Australia
3005,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Poland
3006,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Taiwan
3007,I am a developer by profession,25-34 years old,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Switzerland
3008,I am a developer by profession,55-64 years old,"Not employed, but looking for work","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Australia
3009,I am a developer by profession,25-34 years old,"Employed, full-time;Student, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
3010,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Spain
3011,I am a developer by profession,18-24 years old,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",United Kingdom of Great Britain and Northern Ireland
3012,I code primarily as a hobby,18-24 years old,"Student, full-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Denmark
3013,"I used to be a developer by profession, but no longer am",25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Philippines
3014,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Iran, Islamic Republic of..."
3015,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",South Korea
3016,I am a developer by profession,18-24 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Pakistan
3017,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",China
3018,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Italy
3019,I am learning to code,45-54 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Poland
3020,I am learning to code,18-24 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bulgaria
3021,I am a developer by profession,55-64 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
3022,I am a developer by profession,25-34 years old,"Employed, full-time",Some college/university study without earning a degree,Russian Federation
3023,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Romania
3024,I am a developer by profession,Under 18 years old,"Employed, full-time;Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",United States of America
3025,I am a developer by profession,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Kazakhstan
3026,I am a developer by profession,35-44 years old,"Not employed, and not looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Germany
3027,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
3028,I am a developer by profession,45-54 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Czech Republic
3029,I am a developer by profession,45-54 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Poland
3030,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",India
3031,I am learning to code,Under 18 years old,"Student, full-time",Primary/elementary school,India
3032,I am a developer by profession,45-54 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",France
3033,I am a developer by profession,18-24 years old,"Employed, full-time",Primary/elementary school,Uzbekistan
3034,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
3035,I am learning to code,Under 18 years old,"Student, full-time",Primary/elementary school,India
3036,I am a developer by profession,55-64 years old,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Georgia
3037,I am a developer by profession,25-34 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Thailand
3038,I am a developer by profession,45-54 years old,"Independent contractor, freelancer, or self-employed;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",New Zealand
3039,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Japan
3040,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Ukraine
3041,"I used to be a developer by profession, but no longer am",Prefer not to say,"Not employed, but looking for work","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
3042,"I used to be a developer by profession, but no longer am",35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Latvia
3043,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Poland
3044,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
3045,I am a developer by profession,25-34 years old,"Employed, full-time","Associate degree (A.A., A.S., etc.)",Pakistan
3046,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Cyprus
3047,I am a developer by profession,Under 18 years old,"Student, part-time",Some college/university study without earning a degree,Ukraine
3048,I am learning to code,Under 18 years old,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Rwanda
3049,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
3050,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",South Korea
3051,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",New Zealand
3052,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed","Associate degree (A.A., A.S., etc.)",Poland
3053,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
3054,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United Kingdom of Great Britain and Northern Ireland
3055,I code primarily as a hobby,18-24 years old,"Student, full-time;Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Denmark
3056,"I used to be a developer by profession, but no longer am",35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Hungary
3057,"I used to be a developer by profession, but no longer am",18-24 years old,"Not employed, and not looking for work",Some college/university study without earning a degree,Austria
3058,I am a developer by profession,25-34 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Greece
3059,I am a developer by profession,35-44 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bangladesh
3060,I am a developer by profession,45-54 years old,"Employed, full-time",Some college/university study without earning a degree,Sweden
3061,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Switzerland
3062,I am a developer by profession,25-34 years old,"Employed, full-time",Some college/university study without earning a degree,Germany
3063,I am a developer by profession,18-24 years old,"Student, part-time",Some college/university study without earning a degree,India
3064,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Armenia
3065,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",India
3066,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Under 18 years old,"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Iran, Islamic Republic of..."
3067,"I used to be a developer by profession, but no longer am",45-54 years old,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Australia
3068,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Canada
3069,I am a developer by profession,25-34 years old,"Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Australia
3070,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
3071,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed;Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Canada
3072,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",India
3073,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",El Salvador
3074,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed",Primary/elementary school,United States of America
3075,I am a developer by profession,18-24 years old,"Employed, full-time","Associate degree (A.A., A.S., etc.)",Spain
3076,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Colombia
3077,I am a developer by profession,25-34 years old,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Indonesia
3078,I am a developer by profession,45-54 years old,"Employed, full-time","Associate degree (A.A., A.S., etc.)",Sweden
3079,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Switzerland
3080,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",France
3081,I am a developer by profession,55-64 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Germany
3082,I am a developer by profession,18-24 years old,"Student, part-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Austria
3083,I am a developer by profession,18-24 years old,"Not employed, but looking for work;Student, part-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Kenya
3084,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Poland
3085,I code primarily as a hobby,35-44 years old,"Not employed, and not looking for work",Primary/elementary school,Ireland
3086,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Republic of Korea
3087,I am a developer by profession,25-34 years old,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Canada
3088,I code primarily as a hobby,Prefer not to say,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bulgaria
3089,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Netherlands
3090,I am a developer by profession,55-64 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Germany
3091,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Germany
3092,I am a developer by profession,55-64 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Germany
3093,I am a developer by profession,25-34 years old,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Australia
3094,I am a developer by profession,25-34 years old,"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Poland
3095,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Nepal
3096,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",United States of America
3097,I am a developer by profession,18-24 years old,"Student, full-time;Employed, part-time",Some college/university study without earning a degree,United States of America
3098,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ukraine
3099,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Under 18 years old,"Not employed, and not looking for work",Primary/elementary school,New Zealand
3100,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Switzerland
3101,I am a developer by profession,35-44 years old,"Employed, full-time",Something else,Russian Federation
3102,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Russian Federation
3103,I am a developer by profession,25-34 years old,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Italy
3104,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Japan
3105,I am a developer by profession,25-34 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Pakistan
3106,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Madagascar
3107,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Czech Republic
3108,I am a developer by profession,55-64 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Germany
3109,I am a developer by profession,25-34 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Sweden
3110,I am a developer by profession,35-44 years old,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",United Kingdom of Great Britain and Northern Ireland
3111,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Student, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Australia
3112,I am a developer by profession,55-64 years old,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Australia
